id;fullname;birthyear;deathyear;note
1;EXE;425;1751;Montenegro deliverables
2;calculate;1116;103;violet
3;Assurance;568;1784;Islands UIC-Franc Concrete
4;directional orchestrate Dynamic;245;991;empower
5;Morocco;1110;1375;Key copying Mall
6;Cambridgeshire Rubber solution;255;112;schemas
7;Metal Horizontal Bedfordshire;458;956;transmitting
8;compressing cross-platform;1315;383;Convertible innovate Investor
9;navigating Boliviano;331;394;Canada Table
10;tan Table schemas;1030;403;payment reboot Pa'anga
