id;isbn;title;year;note;image;image_content_type;author_id
1;"448175582X";Forward forecast Chips;1558;transmit;../fake-data/blob/hipster.png;image/png;1
2;"9783124045176";Designer connect;1127;Accountability;../fake-data/blob/hipster.png;image/png;2
3;"978097139938x";secondary Toys;1652;Books quantify;../fake-data/blob/hipster.png;image/png;3
4;"6=P4b=k:>isv0";wireless optical blockchains;807;application;../fake-data/blob/hipster.png;image/png;4
5;"6007148835";Chicken;804;Health Tools CSS;../fake-data/blob/hipster.png;image/png;5
6;"617169775X";Personal;1650;Home Industrial back-end;../fake-data/blob/hipster.png;image/png;6
7;"978F9Q<1X@p/kl H7";(Keeling) primary;828;Shilling;../fake-data/blob/hipster.png;image/png;7
8;"978-7d\//\h^Y/SoX";and;1375;secondary quantify;../fake-data/blob/hipster.png;image/png;8
9;"9784259878959";Jan Arkansas payment;1582;fresh-thinking deposit Quality;../fake-data/blob/hipster.png;image/png;9
10;"978i8~peYaOpLpHeX";methodical multi-tasking Marketing;1787;Optimization hack invoice;../fake-data/blob/hipster.png;image/png;10
